feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
buried_hydrophobic_frac,ddg_pcc,-0.02996004913842614,0.025729317815423477,-0.055936707672874446,0.03719957416126221,9,-0.11077345218867476,0.8504289137991418,0
buried_hydrophobic_frac,a_dg,-0.21136282048283306,0.041850961919389425,-0.2986493234389255,-0.14081350647597016,10,-0.21705682870781354,0.29089357046065245,0
exposed_hydrophobic_frac,b_p,0.30565381923756585,0.0632326706264927,0.1526418738716571,0.40452348081260453,10,0.3590376744485733,0.1347700812706169,1
exposed_hydrophobic_frac,abs_b_p,-0.08881776612177608,0.13011131481034585,-0.381882666282968,0.15059063202224388,8,-0.1265446626294193,0.5861513294896591,1
exposed_hydrophobic_frac,a_p,0.4534375621865438,0.08352244759470878,0.2432767834557538,0.5391589401874759,10,0.524806618213126,0.03337248438103324,9
exposed_hydrophobic_frac,ddg_pcc,0.10842064486626087,0.016485622072607696,0.07046382153971398,0.13228310074833455,10,0.17478339673815418,0.5840914107864476,0
exposed_hydrophobic_frac,a_dg,0.45343756265834473,0.0835224470050972,0.2432767852798542,0.5391589390614705,10,0.524806618213126,0.03337248392884406,9
hydrophobic_moment_proxy,b_p,-0.03242551165541158,0.13483651380582135,-0.24557586058108177,0.17912713066697383,4,-0.0395183360700602,0.6254703185343788,0
hydrophobic_moment_proxy,abs_b_p,-0.0625203652866441,0.14973467741928884,-0.2726527852237487,0.3206639494744828,8,-0.053256704980842916,0.5358489336787617,0
hydrophobic_moment_proxy,a_p,-0.13893589824360864,0.06303040786424297,-0.25671750019357675,-0.03492830119308146,10,-0.1632183908045977,0.5014521940303223,0
hydrophobic_moment_proxy,ddg_pcc,0.2958833807497698,0.03678276565675038,0.19083739199660946,0.32547646082547615,10,0.2600985221674877,0.13392289549126143,0
hydrophobic_moment_proxy,a_dg,-0.13893589727350494,0.06303040700974166,-0.2567175002921727,-0.03492830353913355,10,-0.1632183908045977,0.5014521966108232,0
depth_mean,b_p,-0.06688824357455125,0.10376485709384588,-0.22055394125334118,0.12651675724127384,8,0.04849480021893814,0.5885480567037771,0
depth_mean,abs_b_p,0.403817174231116,0.13795387078570198,0.097025843650757,0.5600394264929325,10,0.4328954570333881,0.10460667645066554,7
depth_mean,a_p,-0.43171006780879306,0.13977306794704975,-0.5594516801195532,-0.09089262839740517,10,-0.19217296113847837,0.08910330393809471,8
depth_mean,ddg_pcc,-0.23567072478030218,0.05881275139482281,-0.2965865690850476,-0.11196709311966946,10,-0.09277504105090312,0.24804848570298849,0
depth_mean,a_dg,-0.43171006731251127,0.13977306822455166,-0.5594516803733827,-0.0908926276711147,10,-0.19217296113847837,0.08910330447319315,8
depth_max,b_p,-0.0010467162312480967,0.06265117009876618,-0.11027898564404458,0.10192717674071937,6,0.07536945812807881,0.8015119873867607,0
depth_max,abs_b_p,0.2537360548466628,0.1846039387897789,-0.1541938111717777,0.4822246169848075,9,0.2839080459770115,0.2299134567148625,4
