feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
mean_hydropathy,a_p,0.1857248091304628,10,-0.19735562500949744,10,0.3666849576418382,0.09311755055836501,0.09311755055836501,0.2487161882680994
mean_hydropathy,b_p,0.09868250624207694,8,0.03505452195066331,6,0.20935047289218608,-0.0051529725040913976,-0.0051529725040913976,0.18545238194317268
mean_hydropathy,abs_b_p,0.07390294990902505,9,0.1575112862018121,10,-0.08239027013908501,-0.013004548426206786,-0.013004548426206786,0.1474843533743752
mean_hydropathy,ddg_pcc,-0.11654836505561608,10,-0.3171772257605415,10,0.041873306521526626,-0.05073099907164147,-0.30278152840868616,-0.05073099907164147
buried_hydrophobic_frac,a_p,-0.21136281838974877,10,-0.3041539132600992,10,-0.18004194927821676,-0.10524971893289166,-0.31757706855714474,-0.10524971893289166
buried_hydrophobic_frac,b_p,-0.09783362740352652,10,-0.1887320803439754,10,-0.07551524069626184,-0.03321030287730444,-0.1900163851963829,-0.03321030287730444
buried_hydrophobic_frac,abs_b_p,0.11686247104729394,9,0.1175746028815455,9,0.07386349878576143,0.056510501799303337,0.056510501799303337,0.18655413095623832
buried_hydrophobic_frac,ddg_pcc,-0.02996004913842614,9,-0.19448408478606413,10,0.021839433714721534,0.050026191825593314,-0.16561070075941178,0.050026191825593314
exposed_hydrophobic_frac,a_p,0.4534375621865438,10,0.39808494419620427,10,0.49184349660445675,0.3657137143160373,0.3657137143160373,0.5011187893452053
exposed_hydrophobic_frac,b_p,0.30565381923756585,10,0.3659294315800973,10,0.3296739092594718,0.24544485225015356,0.24544485225015356,0.37310089945027924
exposed_hydrophobic_frac,abs_b_p,-0.08881776612177608,8,-0.12401409306761724,8,-0.12251862699653593,-0.019034986037195934,-0.149671802189089,-0.019034986037195934
exposed_hydrophobic_frac,ddg_pcc,0.10842064486626087,10,0.10364763837512034,10,0.1449187316357315,0.03242692297848939,0.03242692297848939,0.15718453775791463
hydrophobic_moment_proxy,a_p,-0.13893589824360864,10,-0.0037722559151482987,7,-0.3014908502536324,-0.03209885203581329,-0.21532469896690226,-0.03209885203581329
hydrophobic_moment_proxy,b_p,-0.03242551165541158,4,-0.10645117186840536,9,-0.12379267686355136,0.04308541495088749,-0.15166654171104746,0.04308541495088749
