file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.05,top,44,2,0.045454545454545456,0.04905239687848383,0.9266528925619836
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.05,bot,44,34,0.7727272727272727,0.04905239687848383,15.75309917355372
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.1,top,89,18,0.20224719101123595,0.09921962095875139,2.0383789925514453
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.1,bot,89,69,0.7752808988764045,0.09921962095875139,7.8137861381138745
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.15,top,134,43,0.3208955223880597,0.14938684503901895,2.148084205836489
abl_anchor_w0.3_s42_e14,r11_1081_TrROS_Hall,897,0.15,bot,134,98,0.7313432835820896,0.14938684503901895,4.895633771441301
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.05,top,49,24,0.4897959183673469,0.04994903160040775,9.805914202415659
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.05,bot,49,17,0.3469387755102041,0.04994903160040775,6.945855893377759
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.1,top,98,46,0.46938775510204084,0.0998980632008155,4.698667221990837
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.1,bot,98,51,0.5204081632653061,0.0998980632008155,5.20939192003332
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.15,top,147,74,0.5034013605442177,0.14984709480122324,3.359433569346106
abl_anchor_w0.3_s42_e14,r12_757_TrROS_Hall,981,0.15,bot,147,94,0.6394557823129252,0.14984709480122324,4.267388588088297
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.05,top,49,3,0.061224489795918366,0.04954499494438827,1.2357351103706788
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.05,bot,49,34,0.6938775510204082,0.04954499494438827,14.00499791753436
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.1,top,98,19,0.19387755102040816,0.09908998988877654,1.9565805914202414
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.1,bot,98,71,0.7244897959183674,0.09908998988877654,7.31143273635985
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.15,top,148,35,0.23648648648648649,0.14964610717896865,1.5803049671292915
abl_anchor_w0.3_s42_e14,r18_3_TrROS_Hall,989,0.15,bot,148,116,0.7837837837837838,0.14964610717896865,5.237582176771366
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.05,top,56,4,0.07142857142857142,0.049777777777777775,1.4349489795918366
